CONUM,CONAME,MARGIN,NTK,LOG(MAR),LOG(NTK),MNM,LOG(MNM),AMMKMNKZ,LOG(AMM),WINPARTY,TYPE1,TYPE2,TYPE3,RECTPOS,FLAG,,,,,,,,,,
1,Thiyagarayanagar,137,8284,2.14,3.92,14567,4.16,782,2.89,DMK,NTK,MNM,AMMKMNKZ,53,,,,,,,,,,,
4,Modakkurichi,281,12944,2.45,4.11,4574,3.66,1547,3.19,BJP,NTK,MNM,AMMKMNKZ,68,,,,,,,,,,,
7,Tenkasi,370,15336,2.57,4.19,2188,3.34,9944,4,INC,NTK,MNM,AMMKMNKZ,83,,,,,,,,,,,
10,Mettur,656,9109,2.82,3.96,4605,3.66,0,2.82,PMK,NTK,MNM,AMMKMNKZ,98,,,,,,,,,,,
13,Katpadi,746,10449,2.87,4.02,0,2.87,1066,3.03,DMK,NTK,MNM,AMMKMNKZ,113,,,,,,,,,,,
16,Krishnagiri,794,11137,2.9,4.05,3455,3.54,0,2.9,ADMK,NTK,MNM,AMMKMNKZ,128,,,,,,,,,,,
19,Vridhachalam,862,8642,2.94,3.94,0,2.94,0,2.94,INC,NTK,MNM,AMMKMNKZ,143,,,,,,,,,,,
22,Neyveli,977,7785,2.99,3.89,0,2.99,2230,3.35,DMK,NTK,MNM,AMMKMNKZ,158,,,,,,,,,,,
25,Jolarpet,1091,13328,3.04,4.12,0,3.04,619,2.79,DMK,NTK,MNM,AMMKMNKZ,173,,,,,,,,,,,
28,Kinathukadavu,1095,11280,3.04,4.05,13939,4.14,1248,3.1,ADMK,NTK,MNM,AMMKMNKZ,188,,,,,,,,,,,
31,Anthiyur,1275,8230,3.11,3.92,2474,3.39,1212,3.08,DMK,NTK,MNM,AMMKMNKZ,203,,,,,,,,,,,
34,Thirumayam,1382,11061,3.14,4.04,1356,3.13,1503,3.18,DMK,NTK,MNM,AMMKMNKZ,218,,,,,,,,,,,
37,Dharapuram,1393,6753,3.14,3.83,2130,3.33,1172,3.07,DMK,NTK,MNM,AMMKMNKZ,233,,,,,,,,,,,
40,Uthiramerur,1622,11405,3.21,4.06,2100,3.32,7211,3.86,DMK,NTK,MNM,AMMKMNKZ,248,,,,,,,,,,,
43,Pollachi,1725,6402,3.24,3.81,7589,3.88,1141,3.06,ADMK,NTK,MNM,AMMKMNKZ,263,,,,,,,,,,,
46,Coimbatore (South),1728,4300,3.24,3.63,51481,4.71,701,2.85,BJP,NTK,MNM,AMMKMNKZ,278,,,,,,,,,,,
49,Gudalur,1945,7317,3.29,3.86,960,2.98,0,3.29,ADMK,NTK,MNM,AMMKMNKZ,293,,,,,,,,,,,
52,Thiruporur,1947,20428,3.29,4.31,8194,3.91,7662,3.88,VCK,NTK,MNM,AMMKMNKZ,308,,,,,,,,,,,
55,Rasipuram,1952,11295,3.29,4.05,0,3.29,1051,3.02,DMK,NTK,MNM,AMMKMNKZ,323,,,,,,,,,,,
58,Mailam,2230,8340,3.35,3.92,0,3.35,0,3.35,PMK,NTK,MNM,AMMKMNKZ,338,,,,,,,,,,,
61,Vasudevanallur,2367,16731,3.37,4.22,2139,3.33,13376,4.13,DMK,NTK,MNM,AMMKMNKZ,353,,,,,,,,,,,
64,Mettuppalayam,2456,10954,3.39,4.04,0,3.39,1864,3.27,ADMK,NTK,MNM,AMMKMNKZ,368,,,,,,,,,,,
67,Mayiladuthurai,2742,13186,3.44,4.12,5933,3.77,7282,3.86,INC,NTK,MNM,AMMKMNKZ,383,,,,,,,,,,,
70,Tiruchengodu,2862,13967,3.46,4.15,3724,3.57,449,2.65,DMK,NTK,MNM,AMMKMNKZ,398,,,,,,,,,,,
73,Veppanahalli,3054,8310,3.48,3.92,672,2.83,0,3.48,ADMK,NTK,MNM,AMMKMNKZ,413,,,,,,,,,,,
76,Arani,3128,10491,3.5,4.02,2213,3.34,0,3.5,ADMK,NTK,MNM,AMMKMNKZ,428,,,,,,,,,,,
79,Ariyalur,3234,12346,3.51,4.09,0,3.51,2044,3.31,DMK,NTK,MNM,AMMKMNKZ,443,,,,,,,,,,,
82,Poompuhar,3299,14823,3.52,4.17,950,2.98,1220,3.09,DMK,NTK,MNM,AMMKMNKZ,458,,,,,,,,,,,
85,Alangulam,3539,12519,3.55,4.1,1454,3.16,0,3.55,ADMK,NTK,MNM,AMMKMNKZ,473,,,,,,,,,,,
88,Madurantakam,3570,9293,3.55,3.97,1488,3.17,0,3.55,ADMK,NTK,MNM,AMMKMNKZ,488,,,,,,,,,,,
91,Rajapalayam,3898,15601,3.59,4.19,4057,3.61,7664,3.88,DMK,NTK,MNM,AMMKMNKZ,503,,,,,,,,,,,
94,Coimbatore (North),4001,11433,3.6,4.06,26503,4.42,1659,3.22,ADMK,NTK,MNM,AMMKMNKZ,518,,,,,,,,,,,
97,Cheyyur,4042,9653,3.61,3.98,1968,3.29,0,3.61,VCK,NTK,MNM,AMMKMNKZ,533,,,,,,,,,,,
100,Coonoor,4105,7252,3.61,3.86,3621,3.56,2527,3.4,DMK,NTK,MNM,AMMKMNKZ,548,,,,,,,,,,,
103,Velachery,4352,14171,3.64,4.15,23072,4.36,1977,3.3,INC,NTK,MNM,AMMKMNKZ,563,,,,,,,,,,,
106,Nannilam,4424,13419,3.65,4.13,0,3.65,2076,3.32,ADMK,NTK,MNM,AMMKMNKZ,578,,,,,,,,,,,
109,Panruti,4697,6547,3.67,3.82,1670,3.22,0,3.67,DMK,NTK,MNM,AMMKMNKZ,593,,,,,,,,,,,
112,Tiruppur (South),4709,12898,3.67,4.11,9934,4,1757,3.24,DMK,NTK,MNM,AMMKMNKZ,608,,,,,,,,,,,
115,Vaniyambadi,4904,11226,3.69,4.05,1868,3.27,0,3.69,ADMK,NTK,MNM,AMMKMNKZ,623,,,,,,,,,,,
118,Cuddalore,5151,9563,3.71,3.98,4040,3.61,0,3.71,DMK,NTK,MNM,AMMKMNKZ,638,,,,,,,,,,,
121,Ulundurpettai,5256,9000,3.72,3.95,677,2.83,2848,3.45,DMK,NTK,MNM,AMMKMNKZ,653,,,,,,,,,,,
124,Sankarankovil,5297,13851,3.72,4.14,2338,3.37,22682,4.36,DMK,NTK,MNM,AMMKMNKZ,668,,,,,,,,,,,
127,Udhagamandalam,5348,6381,3.73,3.8,4935,3.69,1273,3.1,INC,NTK,MNM,AMMKMNKZ,683,,,,,,,,,,,
130,Jayankondam,5452,9956,3.74,4,0,3.74,1560,3.19,DMK,NTK,MNM,AMMKMNKZ,698,,,,,,,,,,,
133,Radhapuram,5925,19371,3.77,4.29,0,3.77,0,3.77,DMK,NTK,MNM,AMMKMNKZ,713,,,,,,,,,,,
136,Kunnam,6329,9354,3.8,3.97,739,2.87,2118,3.33,DMK,NTK,MNM,AMMKMNKZ,728,,,,,,,,,,,
139,Anaikattu,6360,8125,3.8,3.91,0,3.8,1140,3.06,DMK,NTK,MNM,AMMKMNKZ,743,,,,,,,,,,,
142,Madathukulam,6438,6245,3.81,3.8,2894,3.46,6515,3.81,ADMK,NTK,MNM,AMMKMNKZ,758,,,,,,,,,,,
145,Madurai South,6515,10483,3.81,4.02,12821,4.11,2672,3.43,DMK,NTK,MNM,AMMKMNKZ,773,,,,,,,,,,,
148,Gudiyattam,6901,11834,3.84,4.07,0,3.84,1822,3.26,DMK,NTK,MNM,AMMKMNKZ,788,,,,,,,,,,,
151,Nagapattinam,7238,9976,3.86,4,2540,3.4,3503,3.54,VCK,NTK,MNM,AMMKMNKZ,803,,,,,,,,,,,
154,Kangayam,7331,11307,3.87,4.05,0,3.87,474,2.68,DMK,NTK,MNM,AMMKMNKZ,818,,,,,,,,,,,
157,Gangavalli,7361,9323,3.87,3.97,0,3.87,1519,3.18,ADMK,NTK,MNM,AMMKMNKZ,833,,,,,,,,,,,
160,Usilampatti,7477,15357,3.87,4.19,0,3.87,55491,4.74,ADMK,NTK,MNM,AMMKMNKZ,848,,,,,,,,,,,
163,Salem (North),7588,8155,3.88,3.91,10718,4.03,805,2.91,DMK,NTK,MNM,AMMKMNKZ,863,,,,,,,,,,,
166,Paramathi-Velur,7662,11684,3.88,4.07,1882,3.27,1329,3.12,ADMK,NTK,MNM,AMMKMNKZ,878,,,,,,,,,,,
169,Attur,8257,10233,3.92,4.01,1959,3.29,1699,3.23,ADMK,NTK,MNM,AMMKMNKZ,893,,,,,,,,,,,
172,Bhuvanagiri,8259,6958,3.92,3.84,0,3.92,2470,3.39,ADMK,NTK,MNM,AMMKMNKZ,908,,,,,,,,,,,
175,Ottapidaram,8510,22413,3.93,4.35,0,3.93,0,3.93,DMK,NTK,MNM,AMMKMNKZ,923,,,,,,,,,,,
178,Andipatti,8538,11216,3.93,4.05,3010,3.48,11896,4.08,DMK,NTK,MNM,AMMKMNKZ,938,,,,,,,,,,,
181,Erode (East),8904,11629,3.95,4.07,10005,4,1204,3.08,INC,NTK,MNM,AMMKMNKZ,953,,,,,,,,,,,
184,Madurai West,9121,18224,3.96,4.26,15849,4.2,0,3.96,ADMK,NTK,MNM,AMMKMNKZ,968,,,,,,,,,,,
187,Vellore,9181,8530,3.96,3.93,7243,3.86,865,2.94,DMK,NTK,MNM,AMMKMNKZ,983,,,,,,,,,,,
190,Kalasapakkam,9222,8822,3.96,3.95,0,3.96,0,3.96,DMK,NTK,MNM,AMMKMNKZ,998,,,,,,,,,,,
193,Vikravandi,9573,8216,3.98,3.91,0,3.98,3053,3.48,DMK,NTK,MNM,AMMKMNKZ,1013,,,,,,,,,,,
196,Polur,9725,10197,3.99,4.01,1580,3.2,656,2.82,ADMK,NTK,MNM,AMMKMNKZ,1028,,,,,,,,,,,
199,Tindivanam,9753,9203,3.99,3.96,2079,3.32,0,3.99,ADMK,NTK,MNM,AMMKMNKZ,1043,,,,,,,,,,,
202,Kavundampalayam,9776,17897,3.99,4.25,23527,4.37,2002,3.3,ADMK,NTK,MNM,AMMKMNKZ,1058,,,,,,,,,,,
205,Senthamangalam,10493,11654,4.02,4.07,0,4.02,831,2.92,DMK,NTK,MNM,AMMKMNKZ,1073,,,,,,,,,,,
208,Kattumannarkoil,10565,6806,4.02,3.83,1415,3.15,1904,3.28,VCK,NTK,MNM,AMMKMNKZ,1088,,,,,,,,,,,
211,Kilvaithinankuppam,10582,10027,4.02,4,0,4.02,0,4.02,ADMK,NTK,MNM,AMMKMNKZ,1103,,,,,,,,,,,
214,Thiruvidaimarudur,10680,11176,4.03,4.05,0,4.03,1746,3.24,DMK,NTK,MNM,AMMKMNKZ,1118,,,,,,,,,,,
217,Singanallur,10854,8366,4.04,3.92,36855,4.57,1733,3.24,ADMK,NTK,MNM,AMMKMNKZ,1133,,,,,,,,,,,
220,Sriperumbudur,10879,22034,4.04,4.34,8870,3.95,3144,3.5,INC,NTK,MNM,AMMKMNKZ,1148,,,,,,,,,,,
223,Bodinayakanur,11021,11114,4.04,4.05,4128,3.62,5649,3.75,ADMK,NTK,MNM,AMMKMNKZ,1163,,,,,,,,,,,
226,Sattur,11179,12626,4.05,4.1,0,4.05,32916,4.52,DMK,NTK,MNM,AMMKMNKZ,1178,,,,,,,,,,,
229,Sivaganga,11253,22500,4.05,4.35,2105,3.32,19824,4.3,ADMK,NTK,MNM,AMMKMNKZ,1193,,,,,,,,,,,
232,Chengam,11570,12080,4.06,4.08,0,4.06,0,4.06,DMK,NTK,MNM,AMMKMNKZ,1208,,,,,,,,,,,
235,Kancheepuram,11595,13946,4.06,4.14,12028,4.08,2301,3.36,DMK,NTK,MNM,AMMKMNKZ,1223,,,,,,,,,,,
238,Nagercoil,11669,10753,4.07,4.03,4037,3.61,1094,3.04,BJP,NTK,MNM,AMMKMNKZ,1238,,,,,,,,,,,
241,Natham,11932,14762,4.08,4.17,0,4.08,1721,3.24,ADMK,NTK,MNM,AMMKMNKZ,1253,,,,,,,,,,,
244,Sirkazhi,12148,11013,4.08,4.04,1000,3,1308,3.12,DMK,NTK,MNM,AMMKMNKZ,1268,,,,,,,,,,,
247,Valparai,12223,7632,4.09,3.88,3314,3.52,0,4.09,ADMK,NTK,MNM,AMMKMNKZ,1283,,,,,,,,,,,
250,Manapparai,12243,19450,4.09,4.29,0,4.09,0,4.09,DMK,NTK,MNM,AMMKMNKZ,1298,,,,,,,,,,,
253,Cheyyar,12271,12192,4.09,4.09,2429,3.39,1760,3.25,DMK,NTK,MNM,AMMKMNKZ,1313,,,,,,,,,,,
256,Vedaranyam,12329,9106,4.09,3.96,437,2.64,1284,3.11,ADMK,NTK,MNM,AMMKMNKZ,1328,,,,,,,,,,,
259,Hosur,12367,11422,4.09,4.06,6563,3.82,806,2.91,DMK,NTK,MNM,AMMKMNKZ,1343,,,,,,,,,,,
262,Kovilpatti,12403,9213,4.09,3.96,3667,3.56,56153,4.75,ADMK,NTK,MNM,AMMKMNKZ,1358,,,,,,,,,,,
265,Karur,12448,7316,4.1,3.86,4154,3.62,0,4.1,DMK,NTK,MNM,AMMKMNKZ,1373,,,,,,,,,,,
268,Bargur,12614,10116,4.1,4.01,0,4.1,1061,3.03,DMK,NTK,MNM,AMMKMNKZ,1388,,,,,,,,,,,
271,Mylapore,12633,10124,4.1,4.01,14904,4.17,1118,3.05,DMK,NTK,MNM,AMMKMNKZ,1403,,,,,,,,,,,
274,Gandharvakottai,12721,12661,4.1,4.1,848,2.93,12840,4.11,CPI(M),NTK,MNM,AMMKMNKZ,1418,,,,,,,,,,,
277,Srivilliputhur,12738,20348,4.11,4.31,3512,3.55,23682,4.37,ADMK,NTK,MNM,AMMKMNKZ,1433,,,,,,,,,,,
280,Pudukkottai,13001,11503,4.11,4.06,3948,3.6,0,4.11,DMK,NTK,MNM,AMMKMNKZ,1448,,,,,,,,,,,
283,Paramakudi,13285,16430,4.12,4.22,3488,3.54,0,4.12,DMK,NTK,MNM,AMMKMNKZ,1463,,,,,,,,,,,
286,Tiruvadanai,13852,16501,4.14,4.22,2208,3.34,33426,4.52,INC,NTK,MNM,AMMKMNKZ,1478,,,,,,,,,,,
289,Thirumangalam,14087,11593,4.15,4.06,2775,3.44,13780,4.14,ADMK,NTK,MNM,AMMKMNKZ,1493,,,,,,,,,,,
292,Manamadurai,14091,23228,4.15,4.37,2257,3.35,10231,4.01,DMK,NTK,MNM,AMMKMNKZ,1508,,,,,,,,,,,
295,Perundurai,14507,10294,4.16,4.01,3533,3.55,0,4.16,ADMK,NTK,MNM,AMMKMNKZ,1523,,,,,,,,,,,
298,Villupuram,14868,6375,4.17,3.8,3242,3.51,1695,3.23,DMK,NTK,MNM,AMMKMNKZ,1538,,,,,,,,,,,
